,actmin,amp,alpha,beta,phi,IS,IV,RA
40608,0.6285229758821437,1.901916372601624,-0.7617751131141581,13.67135169546175,14.514864938804605,0.25004032502767715,0.5404926232228617,0.9682938383404391
40615,1.189580099807234,1.2413889011362258,-0.9276625477272339,207.71069898429832,12.522328697478244,0.2273782277197642,0.551250933729545,0.904088516964523
40619,1.6923343316328259,1.017718080440694,-0.5984194131950302,6.483557641749562,17.18266371827339,0.2492907435473655,0.5065984255685582,0.8845527821788178
40623,1.2484313864358778,1.3043809996033418,-0.5946477430692423,29.550680847118997,16.191080642563858,0.36726671070026956,0.41681382601509287,0.9374788278844755
40629,1.999999999998599,0.6626255581723444,-1.4424196827387126,1.5408448125382435,12.641245963653748,0.17749993733509295,0.5966046016652234,0.5795422895134342
40638,0.9441898744972895,1.6708255041808262,-0.6845093170371636,36.60865802832385,13.861238580949372,0.3375483347033478,0.38228883588578155,0.9800483197589286
40649,1.9999999999999976,1.9999999999999658,2.2642930141124213,0.31324070637418117,8.471008597337512,0.2219713749828962,0.3925646041549787,0.6416358400308467
40650,0.5280588797722262,1.9999999999999998,-0.9644221537702538,2.8158817384765866,15.995075333367524,0.21582009331649776,0.509842252659764,0.8892798861553454
40653,0.6742461096439865,1.9999999985126422,-0.8815708745713942,11.981313913050766,14.173675768161889,0.24497292711609006,0.39160164216191024,0.9569827540273164
40655,0.566230554894687,1.9999999999999998,-0.9424006169920426,16.965565747942232,12.978696760178817,0.24158803268165208,0.4777580680018989,0.9177761334799305
40656,0.6108233429776114,1.9999999999999998,-1.753995804593964,2.7083845901808763,12.093634799666003,0.1928550440547095,0.5966629542024366,0.592240100792667
40658,1.2847720594933147,1.4214213209128308,-0.6132149112640828,16.107477184670866,13.95589884991482,0.3468746720572775,0.5097802806327721,0.9478059298785649
40664,1.5168840861698403,1.1373114612778414,-0.5787595554766598,20.284078408133322,14.981990620030311,0.25244392460525616,0.7361018035318376,0.8832473842945973
40665,1.3172082515869754,1.3090268505660512,-0.7212992480127802,25.49783251585526,15.609933780083695,0.29077253344373316,0.6798860137812702,0.9212938897989597
40668,0.8652311373940169,1.8328123871802886,-0.6454979990204016,32.02561030657156,15.210658995103998,0.2936622262499093,0.5291000584156662,0.9848903328700428
40672,1.285676071618462,1.2078464029712013,-0.5794634215881681,32.68873625357913,14.644086780345067,0.29050260964275887,0.5752977365113534,0.941451685163866
40685,1.7845338817157692,1.0183874941789275,-0.6714442685415626,6.92312428733051,15.343550941611527,0.32485015832328945,0.47105878963207126,0.8820033838413841
40694,1.2731598860679196,1.152021456360187,-0.689898296957518,38.03637544462121,15.84963332745598,0.25799406603450975,0.5710988475216864,0.9102663624889724
40720,1.4542743569907115,1.1701433847633094,-0.640013430462378,20.02558427480167,15.106732464024011,0.30133165002327456,0.43561791184480575,0.9398936924827765
40728,1.7124271458244293,0.9738954440897436,-0.5932411029593212,13.32268187482003,15.67868659123128,0.41662010569729563,0.5733609725968842,0.8937205833455308
40730,1.7045642304524906,0.9320811272807866,-0.6811166974180475,24.79563916961057,16.221293342497294,0.31105631316790866,0.4658400816723871,0.8917366174629239
40733,1.4385202724668944,0.8985207418553269,-0.9077547714491356,147.37191113002046,11.92369054124214,0.1986903160433889,0.5701377967951696,0.7132808722029278
40738,0.8341866802785765,1.5495583548458742,-0.8831632219822257,130.98274025548295,19.323333433603032,0.26702905059248166,0.5162254796110134,0.9344125844755832
40750,0.6021347428318796,1.9999999996816664,-1.0728093960888259,7.172256155630766,15.320907870786781,0.2853333525287583,0.5263852162261041,0.8245004772628054
40756,0.9295592844665106,1.1981585703051265,-0.5176866068647314,202.35213847566936,16.996046509322515,0.13596458332423353,0.5084257795865084,0.8817522887811279
40758,1.0488834372625084,1.368727522812381,-0.6446594554789328,74.00008164461538,15.461813249213693,0.3247016994472459,0.5111203250823478,0.9535371023290893
